A_American_green_winged_teal_Washington_195750_2014_KP739421_4_HA_A_H5N1_12_29_2014_14_15_USA_Washington_Green_Winged_Teal_Pass_N_AdmantaneResistance_Yes_OseltamivirResistance_No_IncreasedVirulence_Yes_EnhancedTransmission_Yes_T92E_No_No_NA_NA_2.3.4.4	2014-12-29
A_American_green_winged_teal_Washington_195750_2014_KP739424_7_M1_A_H5N1_12_29_2014_14_15_USA_Washington_Green_Winged_Teal_Pass_N_AdmantaneResistance_Yes_OseltamivirResistance_No_IncreasedVirulence_Yes_EnhancedTransmission_Yes_T92E_No_No_NA_NA_2.3.4.4	2014-12-29
A_American_green_winged_teal_Washington_195750_2014_KP739422_5_NP_A_H5N1_12_29_2014_14_15_USA_Washington_Green_Winged_Teal_Pass_N_AdmantaneResistance_Yes_OseltamivirResistance_No_IncreasedVirulence_Yes_EnhancedTransmission_Yes_T92E_No_No_NA_NA_2.3.4.4	2014-12-29
A_American_green_winged_teal_Washington_195750_2014_KP739419_2_PB1_A_H5N1_12_29_2014_14_15_USA_Washington_Green_Winged_Teal_Pass_N_AdmantaneResistance_Yes_OseltamivirResistance_No_IncreasedVirulence_Yes_EnhancedTransmission_Yes_T92E_No_No_NA_NA_2.3.4.4	2014-12-29
A_American_green_winged_teal_Washington_195750_2014_KP739423_6_NA_A_H5N1_12_29_2014_14_15_USA_Washington_Green_Winged_Teal_Pass_N_AdmantaneResistance_Yes_OseltamivirResistance_No_IncreasedVirulence_Yes_EnhancedTransmission_Yes_T92E_No_No_NA_NA_2.3.4.4	2014-12-29
A_American_green_winged_teal_Washington_195750_2014_KP739420_3_PA_A_H5N1_12_29_2014_14_15_USA_Washington_Green_Winged_Teal_Pass_N_AdmantaneResistance_Yes_OseltamivirResistance_No_IncreasedVirulence_Yes_EnhancedTransmission_Yes_T92E_No_No_NA_NA_2.3.4.4	2014-12-29
A_American_green_winged_teal_Washington_195750_2014_KP739425_8_NS1_A_H5N1_12_29_2014_14_15_USA_Washington_Green_Winged_Teal_Pass_N_AdmantaneResistance_Yes_OseltamivirResistance_No_IncreasedVirulence_Yes_EnhancedTransmission_Yes_T92E_No_No_NA_NA_2.3.4.4	2014-12-29
A_American_green_winged_teal_Washington_195750_2014_KP739418_1_PB2_A_H5N1_12_29_2014_14_15_USA_Washington_Green_Winged_Teal_Pass_N_AdmantaneResistance_Yes_OseltamivirResistance_No_IncreasedVirulence_Yes_EnhancedTransmission_Yes_T92E_No_No_NA_NA_2.3.4.4	2014-12-29
A_American_wigeon_Washington_196336_2015_KU201856_4_HA_A_H5N1_01_02_2015_14_15_USA_Washington_American_Wigeon_Pass_N_AdmantaneResistance_Yes_OseltamivirResistance_No_IncreasedVirulence_Yes_EnhancedTransmission_Yes_T92E_No_No_NA_NA_2.3.4.4	2015-01-02
A_American_wigeon_Washington_196336_2015_KU201858_6_NA_A_H5N1_01_02_2015_14_15_USA_Washington_American_Wigeon_Pass_N_AdmantaneResistance_Yes_OseltamivirResistance_No_IncreasedVirulence_Yes_EnhancedTransmission_Yes_T92E_No_No_NA_NA_2.3.4.4	2015-01-02
